Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
241.0,7.73052,556.5701591708719,7.73052,-0.005952392114632055
242.0,7.71407,556.625120636808,7.71407,-0.022410599727910707
243.0,7.70701,556.6800821027442,7.70701,-0.029478829662769712
244.0,7.70243,556.7350435686805,7.70243,-0.03406708895007604
245.0,7.70238,556.7900050346167,7.70243,-0.034075382151444344
246.0,7.70262,556.8449665005529,7.70262,-0.03389370927509283
247.0,7.70347,556.8999279664891,7.70347,-0.03305207014041489
248.0,7.70438,556.9548894324254,7.70347,-0.03306046391076034
249.0,7.7031,557.0098508983616,7.70396,-0.03257889059444796
250.0,7.70396,557.0648123642978,7.7031,-0.03344734971272345
251.0,7.70276,557.1197738302341,7.70276,-0.03379584212888265
252.0,7.70206,557.1747352961703,7.70276,-0.03380436818931276
253.0,7.70333,557.2296967621064,7.70333,-0.033242927902461084
254.0,7.7041,557.2846582280426,7.7041,-0.032481520710213374
255.0,7.70674,557.3396196939789,7.70443,-0.032160145855634426
256.0,7.70443,557.3945811599151,7.70443,-0.03216880301920888
257.0,7.70443,557.4495426258513,7.70443,-0.03217749220952104
258.0,7.7038,557.5045040917876,7.70443,-0.032186213435183575
259.0,7.70624,557.5594655577238,7.70624,-0.03038496670484392
260.0,7.70809,557.61442702366,7.7076,-0.02903375022762411
261.0,7.7076,557.6693884895963,7.7076,-0.029042562659893356
262.0,7.70666,557.7243499555325,7.70666,-0.02999140401039213
263.0,7.70528,557.7793114214687,7.70528,-0.03138027522261222
264.0,7.70427,557.8342728874048,7.70427,-0.032399177677455704
265.0,7.70224,557.8892343533411,7.70345,-0.033228112387864606
266.0,7.70345,557.9441958192773,7.70345,-0.03323708017784899
267.0,7.70534,557.9991572852135,7.70534,-0.03135608105629739
268.0,7.70596,558.0541187511498,7.70534,-0.03136511315321844
269.0,7.70432,558.109080217086,7.70432,-0.032394176477567704
270.0,7.70326,558.1640416830222,7.70326,-0.03346327205238353
271.0,7.70165,558.2190031489584,7.70165,-0.035082400940402714
272.0,7.70058,558.2739646148947,7.70165,-0.035091564750938886
273.0,7.70305,558.3289260808309,7.70305,-0.03370076349307283
274.0,7.70551,558.3838875467671,7.70551,-0.031249995784401463
275.0,7.70606,558.4388490127033,7.70551,-0.0312592591885581
276.0,7.70323,558.4938104786395,7.70325,-0.03352855371472785
277.0,7.70325,558.5487719445757,7.70325,-0.0335378816188312
278.0,7.7039,558.603733410512,7.70325,-0.03354724291011468
279.0,7.70216,558.6586948764482,7.7039,-0.03290663759785506
280.0,7.70693,558.7136563423844,7.70693,-0.029886065045236165
281.0,7.70763,558.7686178083206,7.70763,-0.02919552224916888
282.0,7.70873,558.8235792742569,7.70763,-0.029205008522974474
283.0,7.7074,558.8785407401931,7.7074,-0.029444523876063222
284.0,7.70661,558.9335022061293,7.7074,-0.02945406854658028
285.0,7.70858,558.9884636720656,7.70858,-0.028283642543991405
286.0,7.70928,559.0434251380018,7.70858,-0.028293244704375553
287.0,7.70851,559.0983866039379,7.70851,-0.02837287503725605
288.0,7.70707,559.1533480698741,7.70707,-0.029822533621800318
289.0,7.70412,559.2083095358104,7.70412,-0.03278222189952551
290.0,7.70382,559.2632710017466,7.70412,-0.032791942812941066
291.0,7.70438,559.3182324676828,7.70438,-0.03254169637168225
292.0,7.70554,559.3731939336191,7.70554,-0.03139148232695632
293.0,7.70763,559.4281553995553,7.70763,-0.02931129953526046
294.0,7.70782,559.4831168654915,7.70763,-0.029321145928269843
295.0,7.70748,559.5380783314278,7.70748,-0.029481021515750605
296.0,7.70598,559.593039797364,7.70693,-0.03004092645665324
