Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
269.0,0.787108,560.4507872258375,0.788988,-0.003039519838620275
270.0,0.788988,560.5056920234315,0.788636,-0.0033927621536239405
271.0,0.788636,560.5605968210255,0.788636,-0.0033940078454941514
272.0,0.78769,560.6155016186195,0.788636,-0.0033952569154662715
273.0,0.795597,560.6704064162135,0.789916,-0.002116509364778696
274.0,0.789916,560.7253112138076,0.789916,-0.002117763921912985
275.0,0.786526,560.7802160114015,0.787827,-0.004208020588115424
276.0,0.787827,560.8351208089955,0.786567,-0.005469281441039531
277.0,0.786567,560.8900256065896,0.786879,-0.005158547732409424
278.0,0.786879,560.9449304041835,0.786879,-0.005159819153970235
279.0,0.788072,560.9998352017775,0.786879,-0.005161095706979202
280.0,0.786523,561.0547399993716,0.788072,-0.0039693773926983145
281.0,0.788233,561.1096447969655,0.788233,-0.003809663028119359
282.0,0.789081,561.1645495945596,0.788233,-0.003810952454594174
283.0,0.787128,561.2194543921536,0.787255,-0.00479024567340014
284.0,0.787255,561.2743591897475,0.787255,-0.004791543656900044
285.0,0.787481,561.3292639873416,0.787481,-0.004566846406378056
286.0,0.787888,561.3841687849356,0.787481,-0.004568153698800037
287.0,0.787064,561.4390735825297,0.787064,-0.004986465535459672
288.0,0.785294,561.4939783801236,0.787064,-0.00498778233152275
289.0,0.814762,561.5488831777176,0.785951,-0.006102104088291371
290.0,0.785951,561.6037879753117,0.788759,-0.003295431910930402
291.0,0.788759,561.6586927729056,0.788759,-0.0032967630136518933
292.0,0.791663,561.7135975704996,0.788759,-0.0032980973977756456
293.0,0.787166,561.7685023680937,0.789302,-0.0027564350646248625
294.0,0.789302,561.8234071656876,0.789302,-0.0027577754757412976
295.0,0.801562,561.8783119632817,0.789302,-0.0027591186324553707
296.0,0.787225,561.9332167608757,0.789163,-0.002899464536100016
297.0,0.789163,561.9881215584696,0.789163,-0.0029008133262127256
298.0,0.790146,562.0430263560637,0.790146,-0.0019191650041316954
299.0,0.797619,562.0979311536577,0.790146,-0.0019205185934694224
300.0,0.788935,562.1528359512517,0.797619,0.005551125904429077
301.0,0.821534,562.2077407488457,0.789357,-0.002712224049980505
302.0,0.789357,562.2626455464397,0.789357,-0.0027135767046766457
303.0,0.787571,562.3175503440337,0.787571,-0.00450093206100155
304.0,0.787069,562.3724551416277,0.787571,-0.004502291894763588
305.0,0.78865,562.4273599392217,0.78865,-0.003424656207308696
306.0,0.789121,562.4822647368158,0.789121,-0.002955023928309597
307.0,0.789698,562.5371695344097,0.789121,-0.002956394590986733
308.0,0.788292,562.5920743320038,0.789698,-0.002380768196699745
309.0,0.79021,562.6469791295978,0.788292,-0.003788144173047292
310.0,0.784468,562.7018839271917,0.79021,-0.001871523918976159
311.0,0.821132,562.7567887247858,0.787241,-0.00484190552889463
312.0,0.787241,562.8116935223798,0.790074,-0.0020102919546537423
313.0,0.790074,562.8665983199738,0.787241,-0.004844680382480759
314.0,0.785805,562.9215031175678,0.786838,-0.00524907362889282
315.0,0.786838,562.9764079151618,0.786838,-0.00525047209513152
316.0,0.793091,563.0313127127558,0.792813,0.000723124217420712
317.0,0.792813,563.0862175103498,0.792813,0.000721721251039753
318.0,0.788788,563.1411223079438,0.788788,-0.0033046809956744916
319.0,0.788099,563.1960271055378,0.788099,-0.003995086531576875
320.0,0.786402,563.2509319031318,0.78694,-0.005155496042572927
321.0,0.78694,563.3058367007259,0.78694,-0.00515691068052937
322.0,0.788477,563.3607414983198,0.788477,-0.0036213304468446506
323.0,0.78995,563.4156462959138,0.788477,-0.0036227538169751883
324.0,0.78681,563.4705510935079,0.787542,-0.004559180792331419
325.0,0.787542,563.5254558911018,0.787255,-0.004847612302856019
326.0,0.787255,563.5803606886959,0.787542,-0.004562048634818794
327.0,0.788251,563.6352654862899,0.787389,-0.0047164895047876465
328.0,0.787389,563.6901702838838,0.788251,-0.0038559350660524183
329.0,0.789705,563.7450750814779,0.788504,-0.0036043844641662215
330.0,0.788504,563.7999798790719,0.788504,-0.0036058374492338174
331.0,0.787187,563.8548846766658,0.787187,-0.004924294022695119
332.0,0.786998,563.9097894742599,0.786998,-0.005114755493659917
333.0,0.786486,563.9646942718539,0.786486,-0.005628222051103804
334.0,0.785028,564.019599069448,0.786486,-0.00562969420433046
335.0,0.789349,564.0745038670419,0.788597,-0.003520171954794038
336.0,0.788597,564.1294086646359,0.788597,-0.003521653208519826
337.0,0.786857,564.18431346223,0.788597,-0.003523137966976231
338.0,0.789283,564.2392182598239,0.789283,-0.0028386262316347777
339.0,0.789869,564.294123057418,0.789283,-0.0028401173221584974
340.0,0.78679,564.349027855012,0.789869,-0.0022556112400268225
341.0,0.791194,564.4039326526059,0.78679,-0.00533610740396262
342.0,0.785294,564.4588374502,0.789257,-0.002870608873916991
343.0,0.789257,564.513742247794,0.78776,-0.004369113201521446
344.0,0.78776,564.5686470453879,0.78776,-0.00437062187552173
345.0,0.787091,564.623551842982,0.787481,-0.004651134897411091
346.0,0.787481,564.678456640576,0.787481,-0.004652652545643066
